City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,midelt,32.6852,-4.7451,8.29,14,10,2.09,MA,1704566447
153,smara,26.7384,-11.6719,19.24,48,99,4.86,EH,1704565878
154,codrington,-38.2667,141.9667,18.81,98,100,2.15,AU,1704566190
155,lihue,21.9789,-159.3672,20.76,91,0,2.57,US,1704566201
156,machico,32.7,-16.7667,20.0,94,75,8.23,PT,1704566449
157,ola,59.5833,151.2833,-31.42,86,12,3.97,RU,1704566300
158,rafraf,37.1904,10.1837,13.18,71,53,17.8,TN,1704566450
159,mitsamiouli,-11.3847,43.2844,27.93,79,100,2.57,KM,1704566451
160,barcelos,41.5388,-8.6151,9.4,80,100,1.66,PT,1704566295
161,chateauneuf-sur-loire,47.8657,2.219,6.0,81,100,4.33,FR,1704566453
162,lebu,-37.6167,-73.65,18.15,77,14,3.74,CL,1704566454
163,al hawatah,13.4167,34.6333,26.04,22,5,3.45,SD,1704566454
164,anna regina,7.2644,-58.5077,28.46,65,15,4.46,GY,1704566455
165,cidreira,-30.1811,-50.2056,24.66,78,0,7.85,BR,1704566456
166,moree,-29.4667,149.85,21.01,64,65,5.01,AU,1704566457
167,beloyarskiy,63.7119,66.6722,-26.11,99,100,2.24,RU,1704566457
168,anadyr,64.75,177.4833,-15.72,92,75,4.0,RU,1704566207
169,talnakh,69.4865,88.3972,-22.11,99,100,4.41,RU,1704566242
170,dongfeng,42.6403,125.5118,-19.42,93,7,3.31,CN,1704566459
171,faya-largeau,17.9257,19.1043,21.02,14,0,5.22,TD,1704566459
172,aden,12.7794,45.0367,25.3,64,30,4.32,YE,1704566460
173,feijo,-8.1642,-70.3536,29.67,65,100,0.73,BR,1704566461
174,oamaru,-45.0784,170.9801,14.14,70,10,0.58,NZ,1704566461
175,kharp,66.8014,65.8081,-19.0,94,100,3.52,RU,1704566462
176,lyudinovo,53.8664,34.4478,-14.92,96,67,2.42,RU,1704566463
177,raduzhny,62.0961,77.475,-27.76,96,53,3.36,RU,1704566463
178,yigo village,13.5361,144.8886,26.16,83,40,6.17,GU,1704566297
179,castillos,-34.1667,-53.8333,26.95,60,93,6.26,UY,1704566306
180,horta,38.5333,-28.6333,17.8,86,75,8.05,PT,1704566466
181,axim,4.8699,-2.2405,27.52,82,13,3.72,GH,1704566200
182,gadzhiyevo,69.2551,33.3362,-15.61,97,100,7.88,RU,1704566467
